,document_id,set,question,answer1,answer2,question_tokenized,answer1_tokenized,answer2_tokenized
4940,39c4fffc8734283d7bd491285d24b55a110c71ba,test,In which story do three plus culprits die?,Curtain,Curtain,In which story do three plus culprits die ?,Curtain,Curtain
4941,39c4fffc8734283d7bd491285d24b55a110c71ba,test,"How many people did the murderer kill in ""The A.B.C."" murders?",four,Four innocent people.,How many people did the murderer kill in The A.B.C . murders ?,four,Four innocent people .
4942,39c4fffc8734283d7bd491285d24b55a110c71ba,test,What is the name of the detective usually played in Christie's stories?,Hercule Poirot,Hercule Poirot,What is the name of the detective usually played in Christie s stories ?,Hercule Poirot,Hercule Poirot
4943,39c4fffc8734283d7bd491285d24b55a110c71ba,test,"What change was made to the murderer in ""Witness for Protection"" when it was turned into a stage play?",the murderer was killed,He was killed.,What change was made to the murderer in Witness for Protection when it was turned into a stage play ?,the murderer was killed,He was killed .
4944,39c4fffc8734283d7bd491285d24b55a110c71ba,test,"Where does ""Death Comes as an End"" take place?",ancient Egypt,Death Comes as an End is set in Egypt.,Where does Death Comes as an End take place ?,ancient Egypt,Death Comes as an End is set in Egypt .
4945,39c4fffc8734283d7bd491285d24b55a110c71ba,test,Who said Christie often makes an unlikely character the culprit?,P.D. James,P.D. James,Who said Christie often makes an unlikely character the culprit ?,P.D . James,P.D . James
4946,39c4fffc8734283d7bd491285d24b55a110c71ba,test,Brian Aldiss said Christie writes her story all the way to the last chapter then decides what?,who the most unlikely suspect was,Who becomes the most unlikely suspect. ,Brian Aldiss said Christie writes her story all the way to the last chapter then decides what ?,who the most unlikely suspect was,Who becomes the most unlikely suspect .
4947,39c4fffc8734283d7bd491285d24b55a110c71ba,test,Which story doesn't contain any known suspects?,And Then There Were None,And Then There Were None,Which story does n't contain any known suspects ?,And Then There Were None,And Then There Were None
4948,39c4fffc8734283d7bd491285d24b55a110c71ba,test,What is the first step in the classic mystery structure Christie is known for?,a murder is committed,a murder is committed ,What is the first step in the classic mystery structure Christie is known for ?,a murder is committed,a murder is committed
4949,39c4fffc8734283d7bd491285d24b55a110c71ba,test,Christie has the reputation as being the queen of what?,crime,The Queen of Crime.,Christie has the reputation as being the queen of what ?,crime,The Queen of Crime .
4950,39c4fffc8734283d7bd491285d24b55a110c71ba,test,What is the name of Agatha Christie's most famous detective?,Hercule Poirot,Hercule Poirot,What is the name of Agatha Christie s most famous detective ?,Hercule Poirot,Hercule Poirot
4951,39c4fffc8734283d7bd491285d24b55a110c71ba,test,What title has been given to Agatha Christie in response to the theming of her works?,"""The Queen of Crime""","""The Queen of Crime""",What title has been given to Agatha Christie in response to the theming of her works ?,The Queen of Crime,The Queen of Crime
4952,39c4fffc8734283d7bd491285d24b55a110c71ba,test,Which of Agatha Christie's stories had all of the suspects end up being guilty?,Murder on the Orient Express ,Murder on the Orient Express,Which of Agatha Christie s stories had all of the suspects end up being guilty ?,Murder on the Orient Express,Murder on the Orient Express
4953,39c4fffc8734283d7bd491285d24b55a110c71ba,test,What is one way some people say you can determine the guilty party in an Agatha Christie novel?,Identify the least likely suspect,By identifying the lest likely suspect,What is one way some people say you can determine the guilty party in an Agatha Christie novel ?,Identify the least likely suspect,By identifying the lest likely suspect
4954,39c4fffc8734283d7bd491285d24b55a110c71ba,test,Who wrote Agatha Christie: The Secret Notebooks?,John Curran,John Curran,Who wrote Agatha Christie : The Secret Notebooks ?,John Curran,John Curran
4955,39c4fffc8734283d7bd491285d24b55a110c71ba,test,Where is In Death Comes as the End set?,Ancient Egypt,red herring,Where is In Death Comes as the End set ?,Ancient Egypt,red herring
4956,39c4fffc8734283d7bd491285d24b55a110c71ba,test,What is considered the basic mystery structure?,A murder with multiple suspects with secrets and a detective who unravels the suspects secrets with a shocking twist at the end,"Murder committed, multiple suspects, secrets, detective uncovers secrets, shocking twists in the end",What is considered the basic mystery structure ?,A murder with multiple suspects with secrets and a detective who unravels the suspects secrets with a shocking twist at the end,"Murder committed , multiple suspects , secrets , detective uncovers secrets , shocking twists in the end"
4957,39c4fffc8734283d7bd491285d24b55a110c71ba,test,"In the A.B.C. Murders, what happens to the culprit?",trial and hanging,The culprit is tried and hanged.,"In the A.B.C . Murders , what happens to the culprit ?",trial and hanging,The culprit is tried and hanged .
4958,39c4fffc8734283d7bd491285d24b55a110c71ba,test,"What other types of media have used Christie's storylines, but chosen to sanitize them?","Stage, film and television have all adapted Christie's works. ",Stage play and television production,"What other types of media have used Christie s storylines , but chosen to sanitize them ?","Stage , film and television have all adapted Christie s works .",Stage play and television production
4959,39c4fffc8734283d7bd491285d24b55a110c71ba,test,"In stories such as 'Endless Night' and 'Five Little Pigs', what did Christie leave open?",Whether formal justice will ever be delivered.,whether formal justice will ever occur,"In stories such as Endless Night ' and Five Little Pigs ' , what did Christie leave open ?",Whether formal justice will ever be delivered .,whether formal justice will ever occur
4960,39c4fffc8734283d7bd491285d24b55a110c71ba,test,"According to P.D. James, who did Christie often times make the guilty party in her stories?",The unlikeliest character ,She tended to make the unlikeliest killer the guilty party in her stories.,"According to P.D . James , who did Christie often times make the guilty party in her stories ?",The unlikeliest character,She tended to make the unlikeliest killer the guilty party in her stories .
4961,39c4fffc8734283d7bd491285d24b55a110c71ba,test,What title was Christie also known as?,The Queen of Crime,The queen of crime,What title was Christie also known as ?,The Queen of Crime,The queen of crime
4962,39c4fffc8734283d7bd491285d24b55a110c71ba,test,"In typical Christie mystery structure, during what part of the story did the detective uncover the most shocking twists?",Toward the end,the end,"In typical Christie mystery structure , during what part of the story did the detective uncover the most shocking twists ?",Toward the end,the end
4963,39c4fffc8734283d7bd491285d24b55a110c71ba,test,"In the stage version of 'Witness for the Prosecution', why did Christie change and extend the ending?",So the murder would also die,So that the murderer is also killed.,"In the stage version of Witness for the Prosecution ' , why did Christie change and extend the ending ?",So the murder would also die,So that the murderer is also killed .
4964,39c4fffc8734283d7bd491285d24b55a110c71ba,test,"In 'Murder on the Orient Express', who did Christie use as the guilty party?",She used all of the suspects,All suspects,"In Murder on the Orient Express ' , who did Christie use as the guilty party ?",She used all of the suspects,All suspects
4965,39c4fffc8734283d7bd491285d24b55a110c71ba,test,What was the name of the detective in most of Christie's works?,Hercule Poirot,Hercule Poirot,What was the name of the detective in most of Christie s works ?,Hercule Poirot,Hercule Poirot
4966,39c4fffc8734283d7bd491285d24b55a110c71ba,test,How many culprits died during 'Curtain'?,There were no fewer than 3,One.,How many culprits died during Curtain ' ?,There were no fewer than 3,One .
4967,39c4fffc8734283d7bd491285d24b55a110c71ba,test,What did John Curran do to Brian Aldiss' assertion about Christie's writing style?,He contradicted it in his book,He contradicted what Aldiss said.,What did John Curran do to Brian Aldiss ' assertion about Christie s writing style ?,He contradicted it in his book,He contradicted what Aldiss said .
4968,39c4fffc8734283d7bd491285d24b55a110c71ba,test,Who did Christine use a culprit for 'And Then There Were None'?,Nobody was the culprit,to explain everything,Who did Christine use a culprit for And Then There Were None ' ?,Nobody was the culprit,to explain everything
6096,44c8278a7dc6f876636f0979bb645cf98ae1df0f,train,What is built before one of the clan's offspring visits?,A lush landscaped garden,a garden,What is built before one of the clan s offspring visits ?,A lush landscaped garden,a garden
6097,44c8278a7dc6f876636f0979bb645cf98ae1df0f,train,What clan does both the Rongguo and Nongguo Houses belong to?,The Jia clan,Both Rongguo and Nongguo Houses belong to the Jia clan.,What clan does both the Rongguo and Nongguo Houses belong to ?,The Jia clan,Both Rongguo and Nongguo Houses belong to the Jia clan .
6098,44c8278a7dc6f876636f0979bb645cf98ae1df0f,train,Who is most likely to blame for the Jia clan's mansions being raided and confiscated?,The Emperor,The Emperor,Who is most likely to blame for the Jia clan s mansions being raided and confiscated ?,The Emperor,The Emperor
6099,44c8278a7dc6f876636f0979bb645cf98ae1df0f,train,Which goddess mended the heavens?,Nuwa,Nuwa,Which goddess mended the heavens ?,Nuwa,Nuwa
6100,44c8278a7dc6f876636f0979bb645cf98ae1df0f,train,What are the monk and priest begged to bring with them on their quest to see the world?,A sentient Stone,A sentiient stone,What are the monk and priest begged to bring with them on their quest to see the world ?,A sentient Stone,A sentiient stone
6101,44c8278a7dc6f876636f0979bb645cf98ae1df0f,train,What enters the mortal realm?,The Stone,A sentient Stone enters the mortal realm.,What enters the mortal realm ?,The Stone,A sentient Stone enters the mortal realm .
6102,44c8278a7dc6f876636f0979bb645cf98ae1df0f,train,What was Jia Baoyu born with in his mouth?,A magical piece of jade,A Magical piece of Jade in his mouth.,What was Jia Baoyu born with in his mouth ?,A magical piece of jade,A Magical piece of Jade in his mouth .
6103,44c8278a7dc6f876636f0979bb645cf98ae1df0f,train,With whom does Jia Baoyu have a special bond with?,Lin Daiyu,Lin Diayu ,With whom does Jia Baoyu have a special bond with ?,Lin Daiyu,Lin Diayu
6104,44c8278a7dc6f876636f0979bb645cf98ae1df0f,train,Who is supposed to marry Xue Baochai?,Jia Baoyu,Jia Baoyu,Who is supposed to marry Xue Baochai ?,Jia Baoyu,Jia Baoyu
6105,44c8278a7dc6f876636f0979bb645cf98ae1df0f,train,What two families are emphasized in the story?,The Rongguo House and Ningguo House families.,The Ronggu house and the Ningguo house,What two families are emphasized in the story ?,The Rongguo House and Ningguo House families .,The Ronggu house and the Ningguo house
6106,44c8278a7dc6f876636f0979bb645cf98ae1df0f,train,What clan do the Rongguo House and Ningguo house belong to?,The jia clan.,aristicratic Jia,What clan do the Rongguo House and Ningguo house belong to ?,The jia clan .,aristicratic Jia
6107,44c8278a7dc6f876636f0979bb645cf98ae1df0f,train,What was built to receive the visit from the Royal Consort?,"A lush, landscaped garden.",A landscaped garden ,What was built to receive the visit from the Royal Consort ?,"A lush , landscaped garden .",A landscaped garden
6108,44c8278a7dc6f876636f0979bb645cf98ae1df0f,train,What goddess abandoned the sentient Stone?,The goddess Nuwa.,Nuwa,What goddess abandoned the sentient Stone ?,The goddess Nuwa .,Nuwa
6109,44c8278a7dc6f876636f0979bb645cf98ae1df0f,train,What clan fell into disfavor with the Emperor?,The jia clan,the Jia clan,What clan fell into disfavor with the Emperor ?,The jia clan,the Jia clan
6110,44c8278a7dc6f876636f0979bb645cf98ae1df0f,train,With whom did the sentient Stone travel?,A Taoist priest and Buddhist monk.,A Taoist Priest and Buddhist Monk,With whom did the sentient Stone travel ?,A Taoist priest and Buddhist monk .,A Taoist Priest and Buddhist Monk
6111,44c8278a7dc6f876636f0979bb645cf98ae1df0f,train,Who is the main character of this story?,Jia Baoyu.,Jia Baoyu,Who is the main character of this story ?,Jia Baoyu .,Jia Baoyu
6112,44c8278a7dc6f876636f0979bb645cf98ae1df0f,train,Whom is Jia Baoyu predestined to marry?,His cousin Xue Baochai.,Xue Baochai,Whom is Jia Baoyu predestined to marry ?,His cousin Xue Baochai .,Xue Baochai
6113,44c8278a7dc6f876636f0979bb645cf98ae1df0f,train,What interests do Jia and Lin share?,A love of  music and poetry.,music and poetry,What interests do Jia and Lin share ?,A love of music and poetry .,music and poetry
6114,44c8278a7dc6f876636f0979bb645cf98ae1df0f,train,Who abandoned the Stone?,Nuwa,the goddess Nuwa,Who abandoned the Stone ?,Nuwa,the goddess Nuwa
6115,44c8278a7dc6f876636f0979bb645cf98ae1df0f,train,What was Jia Baoyu born with?,a jade stone in his mouth,Jia Bayou is born with a magical piece of Jade in his mouth.,What was Jia Baoyu born with ?,a jade stone in his mouth,Jia Bayou is born with a magical piece of Jade in his mouth .
6116,44c8278a7dc6f876636f0979bb645cf98ae1df0f,train,Which family member does Jia Baoyu share a special bond with?,Cousin Lin,Lin Daiyu,Which family member does Jia Baoyu share a special bond with ?,Cousin Lin,Lin Daiyu
6117,44c8278a7dc6f876636f0979bb645cf98ae1df0f,train,Who is Jia Baoyu supposed to marry?,"his cousin, Xue",Lin Daiyu,Who is Jia Baoyu supposed to marry ?,"his cousin , Xue",Lin Daiyu
6118,44c8278a7dc6f876636f0979bb645cf98ae1df0f,train,What characteristics make Xue the ideal woman?,grace and intelligence,Her grace and intelligence ,What characteristics make Xue the ideal woman ?,grace and intelligence,Her grace and intelligence
6119,44c8278a7dc6f876636f0979bb645cf98ae1df0f,train,Around how many minor characters are there?,four hundred,There are around 400 minor characters in the story.,Around how many minor characters are there ?,four hundred,There are around 400 minor characters in the story .
